price,datetime
202.949100772,2020-05-14 23:59:59.999
195.622658341,2020-05-15 23:59:59.999
200.677118596,2020-05-16 23:59:59.999
207.158694333,2020-05-17 23:59:59.999
214.525055208,2020-05-18 23:59:59.999
213.451110911,2020-05-19 23:59:59.999
210.096735593,2020-05-20 23:59:59.999
199.883605552,2020-05-21 23:59:59.999
207.169194624,2020-05-22 23:59:59.999
208.694402844,2020-05-23 23:59:59.999
202.370350969,2020-05-24 23:59:59.999
205.319750096,2020-05-25 23:59:59.999
201.902309998,2020-05-26 23:59:59.999
208.863429364,2020-05-27 23:59:59.999
219.840431324,2020-05-28 23:59:59.999
220.675124275,2020-05-29 23:59:59.999
242.345590189,2020-05-30 23:59:59.999
230.975700856,2020-05-31 23:59:59.999
246.991760327,2020-06-01 23:59:59.999
237.219061533,2020-06-02 23:59:59.999
244.179324047,2020-06-03 23:59:59.999
244.426387575,2020-06-04 23:59:59.999
241.221991758,2020-06-05 23:59:59.999
241.931320121,2020-06-06 23:59:59.999
245.167259144,2020-06-07 23:59:59.999
246.309898559,2020-06-08 23:59:59.999
244.911453825,2020-06-09 23:59:59.999
247.444943732,2020-06-10 23:59:59.999
231.702669421,2020-06-11 23:59:59.999
237.493210284,2020-06-12 23:59:59.999
238.908842797,2020-06-13 23:59:59.999
234.114695213,2020-06-14 23:59:59.999
229.928901759,2020-06-15 23:59:59.999
234.416174104,2020-06-16 23:59:59.999
233.028279483,2020-06-17 23:59:59.999
232.101162633,2020-06-18 23:59:59.999
227.138289785,2020-06-19 23:59:59.999
229.274256792,2020-06-20 23:59:59.999
228.989820504,2020-06-21 23:59:59.999
242.53319314,2020-06-22 23:59:59.999
244.142144306,2020-06-23 23:59:59.999
235.772462091,2020-06-24 23:59:59.999
232.944486695,2020-06-25 23:59:59.999
229.66803925,2020-06-26 23:59:59.999
222.959785939,2020-06-27 23:59:59.999
225.347168434,2020-06-28 23:59:59.999
228.194866701,2020-06-29 23:59:59.999
226.314997358,2020-06-30 23:59:59.999
231.113421712,2020-07-01 23:59:59.999
229.392201582,2020-07-02 23:59:59.999
225.387063259,2020-07-03 23:59:59.999
229.074112293,2020-07-04 23:59:59.999
227.664598709,2020-07-05 23:59:59.999
241.510225122,2020-07-06 23:59:59.999
239.075528329,2020-07-07 23:59:59.999
246.670015358,2020-07-08 23:59:59.999
243.015967829,2020-07-09 23:59:59.999
240.984985207,2020-07-10 23:59:59.999
239.45817693,2020-07-11 23:59:59.999
242.131695235,2020-07-12 23:59:59.999
239.60458484,2020-07-13 23:59:59.999
240.211494177,2020-07-14 23:59:59.999
238.423526948,2020-07-15 23:59:59.999
233.640883013,2020-07-16 23:59:59.999
232.773085613,2020-07-17 23:59:59.999
235.483805219,2020-07-18 23:59:59.999
238.487523715,2020-07-19 23:59:59.999
236.153167708,2020-07-20 23:59:59.999
245.01672849,2020-07-21 23:59:59.999
262.190656292,2020-07-22 23:59:59.999
274.689049046,2020-07-23 23:59:59.999
279.215409484,2020-07-24 23:59:59.999
304.056761197,2020-07-25 23:59:59.999
309.643609292,2020-07-26 23:59:59.999
321.514088181,2020-07-27 23:59:59.999
316.657252341,2020-07-28 23:59:59.999
318.190884419,2020-07-29 23:59:59.999
334.586629282,2020-07-30 23:59:59.999
345.554649307,2020-07-31 23:59:59.999
385.199719325,2020-08-01 23:59:59.999
370.671711492,2020-08-02 23:59:59.999
386.295173437,2020-08-03 23:59:59.999
389.875485136,2020-08-04 23:59:59.999
401.59058634,2020-08-05 23:59:59.999
394.961957147,2020-08-06 23:59:59.999
379.512855039,2020-08-07 23:59:59.999
393.987376065,2020-08-08 23:59:59.999
391.120454943,2020-08-09 23:59:59.999
395.887569508,2020-08-10 23:59:59.999
380.384068285,2020-08-11 23:59:59.999
391.024162058,2020-08-12 23:59:59.999
394.3667405,2020-08-13 23:59:59.999
394.3667405,2020-08-14 23:59:59.999
